,file,Start,Watch p1,Watch p2,Clap,Start Task 1,End Task 1,End Task 2,Stop,Actual End Task 1,First Watch,Video iwt,EEG Start,EEG Audio align,EEG Audio precision,EEG Task1 Duration,EEG Task2 Duration,EEG PadOrTrim,EEG Pad Duration,Align Method,Audio Detailed ST1,Audio Detailed ET1,Audio Detailed ET2,Comments
221116_CGLS,221116_CGLS,0.0,3.04,12.52,52.2,62.84,1016.16,1889.76,1891.88,,p1,9.48,2022-11-16 10:20:12.636719+00:00,cross-spec_time,0.001,953.29248046875,873.60302734375,trim,12.636469759778947,1,62.8849433106576,1016.177006802721,1889.7795464852609,
221117_TFGG,221117_TFGG,0.0,11.6,0.96,49.64,69.84,1063.6,1972.56,1975.0,,p2,10.64,2022-11-17 10:59:28.775879+00:00,p1-sig_time,0.001,993.76611328125,908.96728515625,pad,41.224327478387295,2,69.86507936507937,1063.6310657596373,1972.5987301587304,
221118_GDNF,221118_GDNF,0.0,30.64,8.32,65.16,82.4,891.52,1929.28,1935.0,,p2,22.32,2022-11-18 17:05:54.680664+00:00,cross-spec_time,0.01,808.8798828125,1037.734375,pad,75.31975791879256,1,82.40430839002268,891.2855782312926,1929.020181405896,
221118_VPET,221118_VPET,0.0,1.08,2.92,55.16,72.72,1009.2,1999.36,2005.0,,p1,1.84,2022-11-18 14:08:07.299316+00:00,p1-sig_time,0.001,936.4736328125,990.14111328125,pad,51.70096916631235,2,72.7540589569161,1009.2268480725623,1999.3686167800447,
221121_JPMC,221121_JPMC,0.0,2.84,7.12,43.28,54.12,916.64,1893.2,1895.0,,p1,4.28,2022-11-21 13:57:20.787109+00:00,cross-spec_time,0.01,862.50146484375,976.77587890625,pad,39.21316844706632,1,54.19541950113378,916.6951020408164,1893.4709750566888,
221122_BDCC,221122_BDCC,0.0,1.84,6.72,17.24,28.68,956.6,1902.44,1905.0,,p1,4.88,2022-11-22 14:03:47.845703+00:00,p1-sig_time,0.001,927.9111328125,945.82080078125,trim,12.84526998299316,2,28.720226757369616,956.6312925170068,1902.4522448979592,
221122_EBPT,221122_EBPT,0.0,3.36,7.64,23.96,34.48,992.8,1969.52,1986.08,,p1,4.279999999999999,2022-11-22 16:59:23.249023+00:00,p1-sig_time,0.01,958.33349609375,976.70458984375,trim,9.248790169713743,2,34.49496598639456,992.8268934240364,1969.5322448979591,
221123_JFHB,221123_JFHB,0.0,1.64,3.32,33.44,43.56,1022.48,1995.72,1997.0,,p1,1.68,2022-11-23 09:40:34.285645+00:00,cross-spec_time,0.001,978.91552734375,973.275390625,pad,23.71438713506234,2,43.571927437641726,1022.4868480725625,1995.762403628118,
221123_YAEB,221123_YAEB,0.0,0.44,4.04,20.8,30.8,982.56,1945.04,1948.0,,p1,3.6,2022-11-23 17:00:52.375488+00:00,p1-sig_time,0.001,951.7470703125,962.4970703125,trim,45.37517640128965,2,30.830022675736963,982.5774603174603,1945.0746031746032,
221125_FDCC,221125_FDCC,0.0,1.44,1.76,28.0,39.56,856.12,1713.12,1714.0,811.2,p1,0.32,2022-11-25 09:52:37.448242+00:00,p1-sig_time,0.001,816.55517578125,857.0244140625,pad,21.55222124787417,2,39.585532879818594,856.1410884353742,1713.165941043084,
221128_EMTR,221128_EMTR,0.0,0.92,19.56,48.4,60.24,1089.52,1962.12,1963.0,,p1,18.64,2022-11-28 14:56:47.763184+00:00,p1-sig_time,0.001,1029.30419921875,872.55126953125,pad,24.23724627090428,2,60.28566893424036,1089.5892970521545,1962.141088435374,
221128_LBRA,221128_LBRA,0.0,0.44,5.96,36.76,48.36,998.56,1943.08,1944.56,,p1,5.52,2022-11-28 17:30:05.913574+00:00,cross-spec_time,0.01,950.19091796875,944.53125,pad,22.08648069905041,1,48.39224489795918,998.5820861678004,1943.114784580499,
221130_AMLB,221130_AMLB,0.0,1.4,8.2,33.92,44.64,876.12,1715.96,1717.0,,p1,6.799999999999999,2022-11-30 17:24:34.312012+00:00,p1-sig_time,0.001,831.4423828125,839.86376953125,pad,26.68823089392004,2,44.680408163265305,876.12231292517,1715.9859410430838,
221130_ASCS,221130_ASCS,0.0,1.6,6.76,29.04,41.44,968.56,1869.68,1874.0,,p1,5.16,2022-11-30 12:33:07.080078+00:00,video_time,0.01,927.115234375,901.111328125,pad,19.920351562499945,1,41.44,968.56,1869.68,
221130_PCEF,221130_PCEF,0.0,1.24,1.12,32.4,43.76,972.32,1870.48,1871.0,,p2,0.1199999999999998,2022-11-30 14:54:48.875000+00:00,p2-sig_time,0.001,928.6181640625,898.12353515625,pad,22.125442221159343,2,43.765260770975054,972.3827664399092,1870.5055782312925,
221130_TFLH,221130_TFLH,0.0,1.84,6.4,36.64,47.48,918.52,1886.0,1890.0,,p1,4.5600000000000005,2022-11-30 09:59:09.237305+00:00,p2-sig_time,0.001,871.03125,967.50244140625,pad,29.76293739370749,2,47.50312925170068,918.5344217687076,1886.036598639456,
221201_MMLM,221201_MMLM,0.0,3.68,0.72,27.08,38.72,954.8,1876.08,1877.0,,p2,2.96,2022-12-01 12:32:27.874512+00:00,cross-spec_time,0.01,916.07177734375,921.26611328125,pad,16.12579710530042,2,38.75224489795919,954.8220861678004,1876.0868480725624,
221202_ELLD,221202_ELLD,0.0,18.36,1.24,36.4,50.24,945.04,1923.64,1924.0,,p2,17.12,2022-12-02 09:56:03.826172+00:00,cross-spec_time,0.01,894.83349609375,978.60205078125,trim,6.8258025970804965,1,50.23668934240363,945.0697052154196,1923.6697052154195,
221206_LKCR,221206_LKCR,0.0,1.52,5.36,26.24,39.56,1019.44,2084.48,2085.0,,p1,3.84,2022-12-06 17:28:07.081543+00:00,p1-sig_time,0.001,979.861328125,1065.05908203125,pad,13.918923876842427,2,39.59374149659864,1019.4550566893424,2084.514467120181,
221207_LBMC,221207_LBMC,0.0,1.12,5.24,28.36,36.16,997.44,1873.92,1874.0,,p1,4.12,2022-12-07 17:19:31.140625+00:00,cross-spec_time,0.01,961.30419921875,876.4892578125,pad,20.85976225907029,1,36.24045351473923,997.5433560090704,1874.033514739229,
221208_MBLB,221208_MBLB,0.0,0.28,1.04,19.56,29.24,931.04,1873.28,1876.0,,p1,0.76,2022-12-08 09:57:12.640137+00:00,p1-sig_time,0.01,901.79541015625,942.21728515625,trim,16.639814253826557,2,29.28448979591837,931.0779591836734,1873.2951473922903,
221215_AGET,221215_AGET,0.0,0.88,1.56,142.88,164.2,1074.88,2136.16,2137.0,,p1,0.68,2022-12-15 11:57:07.736816+00:00,p1-sig_time,0.001,910.681640625,1061.29833984375,pad,102.26332522852886,2,164.24104308390022,1074.9229931972789,2136.2218594104306,
221207_SALT,221207_SALT,0.0,1.48,10.44,27.0,36.32,973.32,1924.68,1926.0,,p1,8.959999999999999,2022-12-07 09:58:31.251465+00:00,cross-spec_time,0.001,936.96923828125,951.3623046875,trim,2.2512769274376296,both,36.35732426303855,973.3268480725624,1924.689387755102,
221201_LIVS,221201_LIVS,0.0,0.56,1.68,24.0,34.92,951.52,1932.84,1937.0,,p1,1.12,2022-12-01 10:06:13.948730+00:00,cross-spec_time,0.001,916.53662109375,981.39453125,pad,14.051544563137782,both,34.94716553287982,951.4836734693878,1932.8773242630384,
221205_KMJF,221205_KMJF,0.0,0.44,1.64,13.92,23.16,986.28,1975.96,1978.0,,p1,1.2,2022-12-05 17:41:25.931641+00:00,manual,0.001,963.0986328125,989.66455078125,trim,19.931297656249967,manual,23.1958,986.2938,1975.959,
221206_MMER,221206_MMER,0.0,1.32,12.52,40.6,50.64,1025.84,1941.36,1942.0,,p1,11.2,2022-12-06 15:09:57.615234+00:00,manual,0.01,975.09326171875,915.56201171875,pad,2.385078125000064,manual,50.71541950113379,1025.805,1941.3719274376413,
221207_SLCB,221207_SLCB,0.0,0.88,0.04,87.96,95.12,1066.28,2021.12,2022.0,,p2,0.84,2022-12-07 14:54:56.158203+00:00,manual,0.01,971.1513671875,954.85595703125,pad,63.8421221301021,manual,95.1448,1066.289387755102,2021.1558,
221123_MMCM,221123_MMCM,0.0,1.68,7.32,63.44,71.4,947.88,1956.12,1957.0,,p1,5.640000000000001,2022-11-23 14:15:44.658691+00:00,manual,10,860.5400390625,1008.26806640625,pad,87.34156093750005,manual,71.4128,947.8816,1956.15,"EEG start posterior to experiment start, precision skewed by first task. Precision for task 2: 0.0003336"
